건물명,주소,층,거래일,거래금액,면적,평,건축년도,위도,경도,평당보증금,평당월세,평당보증금평균,평당월세평균
신현대12차, 압구정동 434,1층,2020 12 18,"   170,000/         0",182.95,55.3,1982,37.5290255354278,127.024586201211,3074.1410488245933,0.0,2012.5521587390083,1.2671735950299357
한양3, 압구정동 489,11층,2020 10 29,"    84,000/         0",116.94,35.4,1978,37.5291881215058,127.037875163534,2372.8813559322034,0.0,1836.6110144424154,1.53788361051431
한양7, 압구정동 528,12층,2020 12 29,"    70,000/         0",106.22,32.1,1981,37.5291430342567,127.044073131194,2180.685358255452,0.0,1614.7031892564637,1.0925892643182362
신현대9차, 압구정동 426,2층,2020 12 30,"   105,000/         0",111.38,33.7,1982,37.526198353273294,127.02443449241001,3115.7270029673587,0.0,1941.4161865633966,1.5427397244075067
미성1차, 압구정동 414,12층,2020 12 10,"    57,750/         0",105.62,32.0,1982,37.5252309789561,127.020208295148,1804.6875,0.0,1910.0053143071318,1.5049347922192748
"현대14차(203,204,205,206동)", 압구정동 447,3층,2020 12 28,"   120,000/         0",84.94,25.7,1987,37.530535167913705,127.026187287091,4669.260700389105,0.0,2928.6975554051764,1.024044154965319
"현대10차(201,202동)", 압구정동 436,8층,2020 12 8,"    63,000/         0",108.15,32.7,1982,37.531092156795395,127.02507340515801,1926.6055045871558,0.0,2240.352014359792,0.382262996941896
현대13차(208~211동), 압구정동 448,11층,2020 12 22,"   125,000/         0",105.45,31.9,1983,37.5302329909954,127.027338352301,3918.4952978056426,0.0,2087.988378316385,1.4016744399418917
현대8차(성수현대:91~95동), 압구정동 481,12층,2020 12 17,"   100,000/         0",107.64,32.6,1980,37.531197671063,127.035430323533,3067.484662576687,0.0,1732.2935362338053,1.4077288405668287
세곡푸르지오, 세곡동 533,10층,2020 12 5,"    50,000/         5",59.89,18.1,2012,37.466799025735,127.09312047608,2762.430939226519,0.2762430939226519,2521.392649435639,0.807906715631597
강남엘에이치1단지, 세곡동 579,13층,2020 12 19,"    63,000/         0",84.83,25.7,2013,37.466918161932504,127.102825603192,2451.36186770428,0.0,2492.4775227968125,0.9953706997555164
강남데시앙파크, 세곡동 525,7층,2020 12 30,"    20,000/       199",84.97,25.7,2011,37.460345348748,127.101163364827,778.2101167315176,7.743190661478599,1430.9139449511463,1.1520937372773685
강남신동아파밀리에1단지, 세곡동 508,5층,2020 12 22,"     4,564/         5",49.74,15.0,2011,37.4641787597471,127.10047214353001,304.26666666666665,0.3333333333333333,1302.3434426637039,1.4816208290844153
강남신동아파밀리에2단지, 세곡동 511,7층,2020 12 23,"     4,230/        31",49.74,15.0,2011,37.464123298922296,127.10277428164801,282.0,2.066666666666667,1605.8301423995158,0.5630574148974575
세곡리엔파크(3단지), 세곡동 516,12층,2020 12 19,"     4,565/        32",49.74,15.0,2011,37.4638170127601,127.104467642122,304.3333333333333,2.1333333333333333,901.84762579922,0.9301728983635723
엘에이치강남브리즈힐, 자곡동 618,5층,2020 12 5,"    75,000/         0",74.04,22.4,2014,37.472641620824795,127.091044933333,3348.214285714286,0.0,2543.002392266894,0.7525510204081634
엘에이치강남3단지, 자곡동 621,6층,2020 12 30,"     2,144/        27",36.08,10.9,2013,37.4707492529501,127.090894797123,196.69724770642202,2.477064220183486,384.8923987103505,2.1133372435372024
갤러리아팰리스, 잠실동 40,25층,2020 12 16,"   140,500/         0",163.935,49.6,2005,37.5110910184918,127.093881664248,2832.6612903225805,0.0,1968.2073215945263,3.3333722686762934
리센츠, 잠실동 22,5층,2020 12 31,"    53,000/         0",27.68,8.4,2008,37.5143452409353,127.090504509993,6309.523809523809,0.0,3199.5178562484152,3.155426317128387
잠실엘스, 잠실동 19,14층,2020 12 30,"    40,000/       170",59.96,18.1,2008,37.514167965975396,127.07932980542101,2209.944751381215,9.392265193370164,3113.773855322693,2.6078614752683347
레이크팰리스, 잠실동 44,28층,2020 12 30,"    84,000/         0",84.82,25.7,2006,37.5084316772029,127.09300266046999,3268.4824902723735,0.0,3042.9681304030623,2.051047014594021
주공아파트 5단지, 잠실동 27,5층,2020 12 30,"    32,550/        11",76.5,23.1,1978,37.5154397956822,127.0929064349,1409.090909090909,0.47619047619047616,1620.6092562672682,0.8061718726353162
우성아파트, 잠실동 101-1,4층,2020 12 26,"    49,000/         0",96.65,29.2,1981,37.5068665794609,127.073089816273,1678.0821917808219,0.0,1788.641915922932,0.7997039863857015
트리지움, 잠실동 35,15층,2020 12 29,"   116,000/         0",84.95,25.7,2007,37.5096776421719,127.091278415039,4513.618677042802,0.0,2979.5046345142937,2.6335003468988623
포스코더샵, 잠실동 336-5,3층,2020 11 20,"    65,000/        60",84.38,25.5,2004,37.504177283744504,127.08728506186199,2549.0196078431372,2.3529411764705883,2114.1956588082708,1.0833428702220187
아시아선수촌아파트, 잠실동 86,12층,2020 12 24,"    65,000/       190",99.385,30.1,1986,37.508117628284204,127.076726661156,2159.468438538206,6.312292358803987,2524.94868806418,0.7673514396701944
현대, 잠실동 331,11층,2020 12 29,"    68,000/         0",84.68,25.6,1990,37.5039679327846,127.085290782792,2656.25,0.0,1982.4912840933448,0.7957346479477012
우성4차, 잠실동 320,1층,2020 12 23,"     1,000/        30",95.84,29.0,1983,37.502777279363706,127.082959019833,34.48275862068966,1.0344827586206897,1386.1186321401735,0.9116163122174645
한영해시안아파트, 잠실동 239-6,2층,2020 1 21,"    41,700/         0",43.38,13.1,2017,37.506920681656396,127.087102537086,3183.206106870229,0.0,3183.206106870229,0.0
잠실월드메르디앙, 잠실동 175-4,3층,2020 12 3,"    47,250/         0",59.23,17.9,2005,37.5113032517687,127.078768556619,2639.664804469274,0.0,2062.2990761609703,3.347071847274383
파크리오, 신천동 17,4층,2020 12 31,"    10,000/       300",84.9,25.7,2008,37.4449966769303,126.780250236239,389.1050583657588,11.673151750972764,2806.1113819431525,2.2745691913337067
장미2, 신천동 11,8층,2020 12 28,"    55,500/         0",82.45,24.9,1979,37.4491346401059,126.77558930744699,2228.9156626506024,0.0,1823.590060682282,0.9109394127557728
한신코아, 신천동 11-9,8층,2020 12 30,"    21,000/         0",31.5,9.5,1988,37.51647006638021,127.10411673785299,2210.5263157894738,0.0,2028.311560149487,1.002135229611947
장미1, 신천동 7,12층,2020 12 31,"    67,000/         0",82.45,24.9,1979,35.813386757810505,128.788240162667,2690.7630522088357,0.0,1919.4674362090868,0.6421112806874493
롯데캐슬골드, 신천동 7-18,25층,2020 12 17,"    99,700/         0",148.15,44.8,2005,37.5144914330703,127.100730296273,2225.446428571429,0.0,2156.3405581389256,1.7659697450908496
더샵스타리버, 신천동 11-8,31층,2020 8 26,"   100,000/         0",145.93,44.1,2006,37.5179829985168,127.10439347416501,2267.573696145125,0.0,2011.9801292385935,0.0
잠실 올림픽공원아이파크, 풍납동 514,3층,2020 12 27,"    10,000/       210",75.91,23.0,2019,37.5256651420621,127.11447223177,434.7826086956522,9.130434782608695,1499.7564198716993,2.3372233302977987
한강극동, 풍납동 508,10층,2020 12 31,"    36,850/         0",59.26,17.9,1995,37.529479654476496,127.11285137330401,2058.659217877095,0.0,1818.4419361653167,0.5272487681759644
쌍용, 풍납동 401-1,11층,2020 11 29,"    44,000/        25",84.86,25.7,1994,37.5272536719036,127.117639908909,1712.0622568093386,0.9727626459143969,1873.8684034533078,0.5691041464007782
신아, 풍납동 271-3,6층,2020 11 7,"    40,000/         0",130.05,39.3,1999,37.5312894749772,127.11254619483299,1017.8117048346056,0.0,954.1984732824428,0.0
동아한가람1, 풍납동 506,10층,2020 12 24,"    88,000/         0",84.38,25.5,1995,37.537554406980206,127.115592585442,3450.9803921568628,0.0,1784.923653968188,0.3921568627450981
케이앤피상상, 풍납동 224-1,6층,2020 7 30,"    20,000/        60",84.95,25.7,2008,37.533959946516106,127.115173471208,778.2101167315176,2.3346303501945527,1420.2334630350194,0.5836575875486382
현대리버빌1지구, 풍납동 260,7층,2020 12 20,"    10,000/        80",43.2,13.1,1999,37.5307767641071,127.11530757755101,763.3587786259542,6.106870229007634,1869.9700585848893,0.9613042015117133
현대리버빌2지구, 풍납동 261,9층,2020 12 25,"    52,000/         0",59.4,18.0,1999,37.5321239552605,127.11685663809799,2888.8888888888887,0.0,1871.8620656350631,0.7122759032997836
송파현대힐스테이트, 풍납동 511,8층,2020 12 10,"    58,000/         0",84.99,25.7,2006,37.5310868399638,127.11858838613199,2256.809338521401,0.0,1613.3933777793916,1.779111318893537
신성노바빌아파트, 풍납동 510,3층,2020 11 15,"     9,000/        60",59.78,18.1,2000,37.538578482966706,127.116694520268,497.23756906077347,3.3149171270718227,1743.6309642954907,0.7042290063773496
현대1, 풍납동 413-1,13층,2020 12 24,"    57,000/         0",84.0,25.4,1995,37.529397589419105,127.11894391174,2244.0944881889764,0.0,1737.4627949140001,0.8376883029526805
갑을, 풍납동 214-6,12층,2020 9 10,"    38,000/         0",59.73,18.1,1996,37.5351887313769,127.11260069963001,2099.4475138121547,0.0,1526.494119108251,0.5540208717004297
대동1, 풍납동 172,5층,2020 11 16,"    40,000/         0",68.06,20.6,1999,37.5352675324864,127.117018196352,1941.7475728155339,0.0,1661.6426747822188,0.9208103130755063
드림스페이스II, 풍납동 397-1,5층,2020 12 1,"     5,500/        50",19.67,6.0,2014,37.5282540724983,127.115424448529,916.6666666666666,8.333333333333334,869.8418516966904,9.294363130149423
토성현대, 풍납동 251-2,6층,2020 11 30,"    32,500/         0",57.24,17.3,1986,37.532606250387296,127.11618343546499,1878.6127167630057,0.0,1672.3986907953436,0.29510191664131424
금강캐스빌, 풍납동 513,3층,2020 9 15,"    35,000/         0",84.06,25.4,2010,37.5356588735225,127.11891772348801,1377.9527559055118,0.0,1476.3779527559054,0.3608923884514436
미성, 풍납동 219,3층,2020 11 30,"    70,000/         0",98.32,29.7,1985,37.5341584143717,127.113694286299,2356.902356902357,0.0,1452.1144828701329,0.4546257062146893
강변현대, 풍납동 299-1,4층,2020 12 1,"    59,000/         0",83.19,25.2,1991,37.5340557738941,127.111598332401,2341.2698412698414,0.0,1562.447786131997,0.06265664160401002
씨티극동1, 풍납동 509,15층,2020 12 26,"    50,000/         0",84.22,25.5,1998,37.539573299173,127.11809492456001,1960.7843137254902,0.0,1742.5801564478759,0.9274697179067914
극동, 풍납동 391,4층,2020 12 30,"    30,500/         0",59.975,18.1,1987,37.5265965874884,127.116720567789,1685.0828729281766,0.0,1778.5140518697779,0.510326773511103
래미안송파파인탑, 송파동 243,27층,2020 12 21,"    50,000/        80",64.66,19.6,2012,37.5025686967001,127.119993544338,2551.020408163265,4.081632653061225,2868.9907029356873,1.0382670204736713
성지, 송파동 171,7층,2020 10 24,"    20,000/         0",84.92,25.7,1992,37.5001577853091,127.11712239486799,778.2101167315176,0.0,1038.8793774319065,0.636964980544747
가락삼익맨숀, 송파동 166,9층,2020 12 26,"    44,100/         0",84.82799999999997,25.7,1984,37.5039591916846,127.121121140949,1715.953307392996,0.0,1549.439087472911,0.47042236050984265
2차한양아파트, 송파동 151,11층,2020 12 12,"    80,000/        30",126.9,38.4,1984,37.505105572566,127.116194449842,2083.3333333333335,0.78125,1668.1853028106523,0.227128693475831
금강KCC, 송파동 164,10층,2020 11 23,"    41,000/         0",58.45,17.7,2003,37.502979525510895,127.11738819174299,2316.3841807909607,0.0,2281.7372580072865,0.3185322504708098
미성맨션, 송파동 161,5층,2020 12 15,"    31,500/        32",84.95,25.7,1985,37.5059522717414,127.11932314763,1225.68093385214,1.245136186770428,1469.0698617088972,0.44190902880968325
송파삼성래미안아파트, 송파동 162,12층,2020 12 21,"    90,000/         0",126.4,38.2,2001,37.504599623716295,127.11872096344901,2356.020942408377,0.0,2263.7184138263306,0.6067729848214166
한양아파트, 송파동 119,9층,2020 12 24,"    36,300/         0",64.26,19.4,1984,37.5056547658557,127.11404356284599,1871.1340206185569,0.0,1636.0309055912437,0.32144650083797205
힐스빌, 송파동 104,3층,2020 12 10,"    30,000/         0",52.62,15.9,2001,37.5039205578186,127.113401633862,1886.7924528301887,0.0,1821.7253000195465,0.0
트윈레이크팰리스빌, 송파동 58-15,3층,2020 12 31,"     3,000/       100",28.11,8.5,2018,37.5110919131186,127.10760642212799,352.94117647058823,11.764705882352942,2378.093243459352,2.7301893689038432
현대레이크빌1, 송파동 31-2,6층,2020 10 23,"     2,000/       120",27.09,8.2,1999,37.5107143866146,127.106985398164,243.90243902439028,14.634146341463415,1374.9578082406913,3.423879986476576
대우레이크월드, 송파동 58-1,4층,2020 12 17,"    56,500/         0",163.44,49.4,2002,37.5115243382498,127.108200590315,1143.7246963562754,0.0,1507.164695570052,0.8710801393728224
원남, 석촌동 282-12,6층,2020 1 4,"    10,000/        75",60.57,18.3,2003,37.5030146073996,127.106363080567,546.4480874316939,4.098360655737705,546.4480874316939,4.098360655737705
석촌호수효성해링턴타워, 석촌동 24-3,17층,2020 12 7,"    23,000/         0",15.8307,4.8,2015,37.506565406307395,127.100350745882,4791.666666666667,0.0,3032.0298573975047,6.325757575757575
잠실한솔, 석촌동 285,9층,2020 12 18,"    80,000/         0",84.87,25.7,2000,37.5036249730523,127.10456698482099,3112.8404669260703,0.0,2211.4681912775663,1.1353887406492353
동원아이파크, 삼전동 38-26,3층,2020 11 28,"    54,500/         0",75.42,22.8,2005,37.5017899819526,127.086436926534,2390.3508771929824,0.0,2172.7039737898963,0.0
동신, 삼전동 166-10,2층,2020 12 23,"    46,000/         0",64.79,19.6,2003,37.5004115810983,127.09363904741998,2346.938775510204,0.0,1695.5184776613346,1.0204081632653061
엘에스타워, 삼전동 7-16,15층,2020 9 17,"     2,000/        65",15.54,4.7,2016,37.504744223401104,127.08895704571998,425.531914893617,13.829787234042552,731.9148936170213,12.613981762917932
하이파크 아파트, 삼전동 38-12,8층,2020 11 18,"    45,100/         0",51.2,15.5,2016,37.5005950736511,127.087514076564,2909.6774193548385,0.0,2579.5745272525023,1.5241935483870968
레이크시티, 삼전동 8,5층,2020 11 27,"     5,000/        53",18.92,5.7,2013,37.5049886244462,127.089546315213,877.1929824561403,9.298245614035087,486.1858034917803,10.254041884371945
현대1, 삼전동 39,6층,2020 12 3,"    40,000/         0",82.0,24.8,1989,37.5002406303405,127.08861400818,1612.9032258064515,0.0,1442.6986137030124,1.0256431618235138
가락(1차)쌍용아파트, 가락동 140,17층,2020 12 30,"    22,000/         0",84.69,25.6,1997,37.4957661631015,127.12807048585199,859.375,0.0,2287.7288412141297,0.5510938629158216
헬리오시티, 가락동 479,7층,2020 12 31,"    63,000/         0",84.99,25.7,2018,37.4974284257702,127.107104828951,2451.36186770428,0.0,2844.9473981356887,2.656379540895536
풍림1, 가락동 142,10층,2020 10 23,"    42,000/         0",80.52,24.4,1995,37.495679502587706,127.12637323264,1721.3114754098362,0.0,1610.172003524055,0.653658677161983
래미안파크팰리스, 가락동 165,24층,2020 12 18,"   100,000/         0",84.936,25.7,2007,37.4981148196025,127.132017111444,3891.0505836575876,0.0,2575.2353447072196,1.173220757162105
대림, 가락동 70-19,6층,2020 12 29,"    15,000/       150",84.11,25.4,1988,37.499490310180704,127.118577385016,590.5511811023622,5.905511811023622,1777.8779390709444,0.7671538188941663
삼환, 가락동 176,8층,2020 12 28,"    41,000/         0",72.88,22.0,1984,37.495334827327206,127.136528663036,1863.6363636363637,0.0,1572.1494021405533,0.33246369876902937
성원상떼빌, 가락동 80,7층,2020 11 27,"    69,000/         0",90.7,27.4,2006,37.495045096304004,127.120403841574,2518.248175182482,0.0,1748.2708193375056,0.47747102690362114
송파동부쎈트레빌, 가락동 478,15층,2020 12 3,"    10,000/       138",84.98,25.7,2004,37.5004733457566,127.109129538554,389.1050583657588,5.369649805447471,2267.0489453204996,1.357771861560516
프라자, 가락동 199,4층,2020 12 28,"    68,000/         0",133.76,40.5,1985,37.49200052154939,127.133557002101,1679.0123456790122,0.0,1360.0370875812307,0.38593591419419454
현대(5차), 가락동 161-2,4층,2020 12 8,"    42,000/         0",82.3,24.9,1989,37.5000438272808,127.130252118552,1686.7469879518073,0.0,1762.3485651756498,0.2310031001573646
현대(60동), 가락동 161-1,4층,2020 9 23,"    44,000/         0",82.16,24.9,1991,37.5003208168721,127.12982030831499,1767.0682730923695,0.0,1696.5902826994252,0.24542614904060686
가락금호아파트, 가락동 95-1,13층,2020 12 28,"    52,500/         0",84.85,25.7,1997,37.4962373395387,127.11643561474101,2042.8015564202335,0.0,2295.4993685808336,0.7026543063905747
가락쌍용(2차), 가락동 21-6,8층,2020 12 22,"    57,500/         0",84.42,25.5,1999,37.5015162271799,127.122308731292,2254.901960784314,0.0,2175.959906557892,0.5195425669913808
현대7, 가락동 171-5,3층,2020 12 3,"    65,000/         0",84.65,25.6,1991,37.4969458034094,127.133589120182,2539.0625,0.0,1416.015625,1.5966796875
우성, 가락동 96-1,8층,2020 12 22,"    40,000/         0",43.79,13.2,1986,37.4965871527848,127.117602228964,3030.3030303030305,0.0,1832.9645238972012,0.9363263193374421
sk파크타워, 가락동 166-2,10층,2020 11 14,"    52,500/         0",84.35,25.5,2003,37.497941001811206,127.134315768299,2058.823529411765,0.0,1973.080812753945,0.0
현대(6차), 가락동 55,6층,2020 10 27,"    60,000/         0",84.8,25.7,1991,37.497226547023104,127.12262382670299,2334.6303501945526,0.0,1842.8988326848248,0.1264591439688716
가락3차쌍용스윗닷홈(103동), 가락동 54,9층,2020 9 17,"    50,000/        50",84.94,25.7,2005,37.4975158043775,127.123155210174,1945.5252918287938,1.9455252918287937,2092.5205361003027,0.34587116299178555
카나피아Ⅱ, 가락동 34-1,5층,2020 11 10,"    35,000/         0",84.69,25.6,2003,37.4991470241984,127.12462893530001,1367.1875,0.0,1386.71875,0.0
가락스타클래스, 가락동 8,4층,2020 11 18,"    75,000/         0",84.97,25.7,2007,37.5028791314632,127.126106759317,2918.287937743191,0.0,2568.093385214008,0.0
"가락3차쌍용스윗닷홈 101동, 102동", 가락동 53,3층,2020 12 17,"    62,000/         0",84.99,25.7,2005,37.4976975961025,127.123492219793,2412.4513618677042,0.0,2663.9723111980566,0.19337016574585636
가락미륭아파트, 가락동 138,3층,2020 12 15,"    40,000/         0",50.0,15.1,1986,37.493719452659,127.12868400544399,2649.0066225165565,0.0,1780.3601229500784,0.3714610851255542
가락우성2, 가락동 120-4,7층,2020 12 26,"    29,000/         3",46.81,14.2,2000,37.4918837836199,127.12550741707199,2042.2535211267607,0.21126760563380284,1970.0061192228068,0.08616142379569244
한화오벨리스크, 가락동 78-1,20층,2020 12 22,"    19,900/         0",30.25,9.2,2004,37.4948488910235,127.121898891099,2163.0434782608695,0.0,1259.873513910781,4.063692635121207
극동, 가락동 192,3층,2020 12 24,"    15,000/         0",149.74,45.3,1984,37.49566529726471,127.132674785074,331.12582781456956,0.0,1529.6990209551084,0.6352557615377468
아키죤II, 가락동 101-4,2층,2020 8 5,"    45,000/         0",75.29,22.8,2003,37.4902756236625,127.12083647524099,1973.6842105263158,0.0,1900.5847953216373,0.0
동성아파트(101동), 가락동 15,2층,2020 1 23,"    30,000/         0",94.53,28.6,2006,37.500951145718496,127.12544002902,1048.951048951049,0.0,1048.951048951049,0.0
건영1, 문정동 72-3,9층,2020 12 30,"    69,000/         0",77.68,23.5,1996,36.7904236689745,128.596555395267,2936.1702127659573,0.0,1731.5925418780196,0.7268937135665077
현대2, 문정동 58,3층,2020 11 17,"    43,000/         0",84.96,25.7,1995,36.7979418329001,128.615889716217,1673.1517509727628,0.0,2055.3554134646665,0.0
문정시영, 문정동 145,13층,2020 12 29,"    30,000/         0",39.69,12.0,1989,36.799326220825,128.611025598765,2500.0,0.0,1282.0655511785346,1.2815075846617905
파크하비오, 문정동 618,7층,2020 12 28,"    58,250/        40",84.9342,25.7,2016,36.8027345383238,128.598790109308,2266.536964980545,1.556420233463035,2513.1404879887377,1.210272373540856
문정래미안, 문정동 1,21층,2020 12 25,"   135,000/         0",131.39,39.7,2004,36.7934086303576,128.621541224662,3400.5037783375315,0.0,1905.830797041539,0.603454444140451
세양청마루, 문정동 146,13층,2020 10 17,"    60,000/         0",59.91,18.1,2004,36.799012038503605,128.610653178398,3314.917127071823,0.0,2268.153117600631,0.6353591160220994
올림픽훼밀리타운, 문정동 150,5층,2020 12 29,"   100,000/         0",136.325,41.2,1988,36.7989321443167,128.609172350258,2427.1844660194174,0.0,1984.9045355236215,0.6579877750352818
현대1, 문정동 3,9층,2020 12 22,"    15,400/       120",123.61,37.4,1984,36.7927238911666,128.619616238286,411.764705882353,3.2085561497326203,1346.7423509677951,0.4056489033305165
문정대우푸르지오, 문정동 19,13층,2020 12 6,"    37,000/        17",59.3,17.9,2001,36.7932822518545,128.619701478368,2067.0391061452515,0.9497206703910616,2202.772897771051,0.20234846344013138
트윈팰리스(101동), 문정동 112,5층,2020 12 12,"    45,100/         0",84.78,25.6,2006,36.79896904627179,128.612817920705,1761.71875,0.0,1943.080357142857,0.0
현대(62-5), 문정동 62-5,5층,2020 12 24,"    70,000/         0",81.43,24.6,1993,36.797270178598396,128.615982832309,2845.528455284553,0.0,2190.1873831572543,0.320855614973262
현대, 문정동 104,1층,2020 12 28,"    42,000/         0",71.52,21.6,1991,36.798491873424204,128.613388062071,1944.4444444444443,0.0,1650.699912510936,0.16404199475065617
동부브리앙뜨1, 문정동 74,5층,2020 11 3,"    43,000/         0",83.07,25.1,2003,36.7980967247019,128.616414305607,1713.1474103585656,0.0,1868.3085838464326,0.0
문정푸르지오, 문정동 18,9층,2020 11 28,"    65,000/         0",59.84,18.1,1999,36.7930006393746,128.619714547299,3591.160220994475,0.0,2214.8598655037163,0.625528887777098
위례22단지(비발디), 장지동 879,8층,2020 12 30,"    79,000/         0",59.73,18.1,2013,37.1467947918254,127.12682273163401,4364.640883977901,0.0,2595.4738066141595,1.0192789971428167
송파파인타운7단지, 장지동 844,6층,2020 12 24,"     6,301/        10",84.93,25.7,2007,37.1486816574826,127.123323763754,245.1750972762646,0.38910505836575876,919.642373390327,0.7692549088444032
송파파인타운12단지, 장지동 855,6층,2020 10 9,"    85,000/         0",84.76,25.6,2011,37.1494096661129,127.12449439395,3320.3125,0.0,2218.618805037887,0.9944018149703051
위례신도시 송파푸르지오, 장지동 878,9층,2020 12 31,"   100,000/         0",111.6031,33.8,2015,37.1466551302701,127.12673743269899,2958.579881656805,0.0,2010.244098484867,1.3227064356199056
송파와이즈더샵, 장지동 895,21층,2020 12 31,"    57,000/        50",96.7116,29.3,2016,37.15184743828,127.10924740706699,1945.3924914675767,1.706484641638225,2168.5300884212197,0.8210989507353079
송파파인타운3단지, 장지동 849,3층,2020 12 29,"    40,000/         0",84.98,25.7,2008,37.1473225689546,127.123136445081,1556.4202334630352,0.0,1972.1202554878494,0.9511049115336616
송파파인타운5단지, 장지동 845,13층,2020 12 3,"     7,304/        11",49.93,15.1,2008,37.1472441011842,127.122601687219,483.7086092715232,0.728476821192053,1331.5733828089426,0.5755903144621675
송파파인타운6단지, 장지동 847,14층,2020 12 28,"    80,000/         0",84.98,25.7,2008,37.1472615410573,127.122847708678,3112.8404669260703,0.0,1413.1464863204128,0.7811705039734579
힐스테이트송파위례, 장지동 883,26층,2020 12 28,"   102,000/         0",101.8,30.8,2016,37.156137922690604,127.124723755607,3311.6883116883114,0.0,2193.4530955392634,0.9185078210998233
송파파인타운10단지, 장지동 856,4층,2020 12 17,"     4,168/        28",49.93,15.1,2007,37.149345911839106,127.12504712845801,276.02649006622516,1.8543046357615895,2095.4044505675424,0.49305803778746593
위례2차아이파크, 장지동 884,8층,2020 12 29,"    66,150/         0",90.8877,27.5,2016,37.154247432287,127.123170884993,2405.4545454545455,0.0,2207.662512905433,0.7969205496188765
위례24단지(꿈에그린), 장지동 901,18층,2020 12 31,"    43,050/         0",51.78,15.7,2013,37.4758721867397,127.139302571966,2742.0382165605097,0.0,2410.0021599513534,1.121832330652003
위례아이파크, 장지동 894,1층,2020 12 18,"    66,000/         0",100.7848,30.5,2015,37.4764263218562,127.142122384296,2163.934426229508,0.0,2176.4420686250205,1.1171674234073048
송파파인타운1단지, 장지동 833,9층,2020 12 29,"    51,450/         0",84.95,25.7,2010,37.4869040031531,127.134759744258,2001.9455252918287,0.0,1659.609968501019,1.1534185658699276
송파파인타운9단지, 장지동 843,5층,2020 12 30,"     3,675/       147",59.93,18.1,2007,37.1493051722177,127.124074269834,203.03867403314916,8.121546961325967,956.2739301779629,0.9426825101672248
송파파인타운4단지, 장지동 837,3층,2020 12 31,"    75,000/         0",84.95,25.7,2008,37.481766055056795,127.129627543598,2918.287937743191,0.0,1855.0429243993744,0.3657587548638133
송파파인타운8단지, 장지동 842,7층,2020 12 11,"    46,200/         0",59.97,18.1,2008,37.14953545765079,127.123985452453,2552.4861878453034,0.0,1016.2342084028176,1.0802755602140437
송파파인타운13단지, 장지동 857,7층,2020 12 29,"    59,850/         0",84.76,25.6,2011,37.1497384848612,127.12518818675801,2337.890625,0.0,2391.7136581955247,0.7706560068093384
송파파인타운11단지, 장지동 854,8층,2020 12 5,"    25,000/       150",84.94,25.7,2007,37.479661669489204,127.13318528098699,972.7626459143969,5.836575875486382,1776.5889650856436,1.1429513224555896
뉴파크플러스, 방이동 107-18,3층,2020 7 27,"    38,000/        15",73.13,22.1,2006,37.5126088775861,127.113046075588,1719.4570135746606,0.6787330316742081,1603.7129445595635,0.49773755656108587
올림픽선수기자촌1단지, 방이동 89,11층,2020 12 31,"    45,000/        45",83.06,25.1,1988,37.5177729767111,127.13630743081998,1792.828685258964,1.792828685258964,2272.7201835538685,0.7713179607049341
올림픽베어스타운1, 방이동 171,11층,2020 12 3,"    44,000/         0",59.37,18.0,1996,37.5147610491382,127.11893670661101,2444.4444444444443,0.0,2218.9905591866377,0.5446623093681917
현대주상복합, 방이동 48-5,8층,2020 12 7,"     2,000/        80",38.56,11.7,1998,37.5154748520697,127.113112649111,170.94017094017096,6.837606837606838,1261.9653358520347,2.643088533586396
주함위너스Ⅰ, 방이동 154-21,6층,2020 12 12,"    42,000/         0",84.68,25.6,2004,37.513509093481204,127.11716972962601,1640.625,0.0,1694.4383741258741,0.0
인택파크랜드, 방이동 185,10층,2020 11 20,"    78,500/         0",126.79,38.4,2004,37.511389864025794,127.126911805364,2044.2708333333335,0.0,2116.411510942761,0.0
올림픽파크리움, 방이동 51,16층,2020 12 30,"    15,500/        10",16.055999999999994,4.9,2016,37.5155342963595,127.114988724998,3163.2653061224487,2.0408163265306123,3236.313619510503,1.9657628255951305
코오롱아파트, 방이동 212-8,8층,2020 12 30,"    50,000/         0",84.95,25.7,1991,37.5086019646836,127.12237030795299,1945.5252918287938,0.0,2055.401148786363,0.6670372429127294
그린파크빌아파트, 방이동 98-9,5층,2020 8 21,"    35,000/         0",73.32,22.2,2002,37.5141071182995,127.111359443513,1576.5765765765766,0.0,1589.5703395703395,0.0
신구블레스밸리, 방이동 197,9층,2020 12 30,"    85,000/         0",115.17,34.8,2004,37.511429013509,127.12241819724701,2442.528735632184,0.0,1867.8160919540232,0.0
한양3, 방이동 225,6층,2020 12 19,"    44,000/         0",84.92,25.7,1985,37.5061638379956,127.122692833624,1712.0622568093386,0.0,1479.162557985489,0.5056154158287063
방이금호어울림, 방이동 157,5층,2020 12 10,"    47,000/         0",59.67,18.1,2001,37.5125198405901,127.118251192533,2596.685082872928,0.0,1852.8689560538762,0.6732026143790849
에비뉴잠실, 방이동 47-2,11층,2020 12 18,"    32,550/         0",29.51,8.9,2020,37.5161575300754,127.112971673077,3657.3033707865166,0.0,3076.299157303371,1.7721207865168538
상아1차아파트, 오금동 166,7층,2020 12 23,"    48,000/         0",60.7,18.4,1984,37.664657508821605,126.90271612612801,2608.6956521739135,0.0,1539.297014950361,0.8045340777820563
